  0.009  0.128  -7.05 -10.86 -13.93 -16.48 -18.66 -20.59 -22.36 -24.08 -25.84 -27.74 -29.84 -32.20 -34.82 -37.66 -40.68 -43.81 -47.00 -50.20 -53.37 -56.49 -59.54 -62.70 -66.11 -69.76 -73.16 -75.96 -77.90 -79.00 -79.54 -79.77 -79.87 -79.91 -79.93 -79.94 -79.94 -79.95 -79.95 -79.95 -79.95 -79.95
  0.018  0.255  -6.86 -10.73 -13.84 -16.42 -18.61 -20.55 -22.33 -24.06 -25.82 -27.72 -29.82 -32.18 -34.80 -37.64 -40.66 -43.79 -46.97 -50.17 -53.33 -56.44 -59.47 -62.62 -66.01 -69.64 -73.02 -75.82 -77.79 -78.93 -79.49 -79.75 -79.86 -79.91 -79.93 -79.94 -79.94 -79.95 -79.95 -79.95 -79.95 -79.95
  0.027  0.383  -6.53 -10.50 -13.69 -16.30 -18.53 -20.48 -22.28 -24.01 -25.78 -27.69 -29.79 -32.15 -34.77 -37.61 -40.63 -43.75 -46.93 -50.11 -53.26 -56.35 -59.36 -62.48 -65.84 -69.43 -72.79 -75.59 -77.60 -78.80 -79.42 -79.70 -79.83 -79.89 -79.92 -79.93 -79.94 -79.95 -79.95 -79.95 -79.95 -79.95
  0.036  0.510  -6.07 -10.19 -13.47 -16.15 -18.41 -20.39 -22.20 -23.95 -25.73 -27.64 -29.75 -32.11 -34.73 -37.57 -40.58 -43.70 -46.86 -50.03 -53.16 -56.23 -59.21 -62.29 -65.61 -69.15 -72.48 -75.28 -77.33 -78.61 -79.30 -79.63 -79.79 -79.87 -79.90 -79.92 -79.93 -79.94 -79.94 -79.94 -79.95 -79.95
  0.045  0.637  -5.47  -9.78 -13.19 -15.94 -18.25 -20.27 -22.11 -23.87 -25.67 -27.58 -29.70 -32.06 -34.68 -37.51 -40.52 -43.63 -46.78 -49.93 -53.04 -56.08 -59.02 -62.06 -65.31 -68.80 -72.08 -74.88 -76.99 -78.36 -79.13 -79.53 -79.73 -79.83 -79.88 -79.91 -79.92 -79.94 -79.94 -79.94 -79.94 -79.94
  0.054  0.765  -4.75  -9.27 -12.83 -15.69 -18.06 -20.12 -21.99 -23.77 -25.58 -27.51 -29.63 -32.00 -34.61 -37.45 -40.45 -43.54 -46.68 -49.81 -52.89 -55.90 -58.79 -61.77 -64.97 -68.39 -71.62 -74.40 -76.57 -78.03 -78.91 -79.39 -79.64 -79.77 -79.84 -79.88 -79.91 -79.93 -79.94 -79.94 -79.94 -79.94
  0.063  0.892  -3.91  -8.65 -12.41 -15.38 -17.84 -19.95 -21.85 -23.66 -25.48 -27.42 -29.55 -31.92 -34.54 -37.37 -40.36 -43.44 -46.57 -49.67 -52.72 -55.68 -58.53 -61.45 -64.57 -67.92 -71.09 -73.86 -76.07 -77.64 -78.63 -79.20 -79.51 -79.69 -79.79 -79.85 -79.89 -79.92 -79.93 -79.94 -79.94 -79.94
  0.072  1.020  -2.99  -7.92 -11.91 -15.03 -17.57 -19.74 -21.68 -23.52 -25.37 -27.32 -29.46 -31.84 -34.45 -37.28 -40.26 -43.33 -46.43 -49.51 -52.53 -55.44 -58.24 -61.09 -64.14 -67.41 -70.52 -73.26 -75.51 -77.17 -78.28 -78.96 -79.35 -79.58 -79.72 -79.80 -79.85 -79.91 -79.92 -79.93 -79.93 -79.94
  0.081  1.148  -2.04  -7.08 -11.32 -14.61 -17.26 -19.50 -21.50 -23.37 -25.24 -27.21 -29.36 -31.74 -34.35 -37.17 -40.15 -43.20 -46.28 -49.33 -52.31 -55.18 -57.91 -60.70 -63.67 -66.86 -69.90 -72.61 -74.89 -76.64 -77.86 -78.66 -79.14 -79.44 -79.62 -79.73 -79.81 -79.89 -79.91 -79.92 -79.93 -79.93
  0.090  1.275  -1.18  -6.12 -10.65 -14.13 -16.91 -19.23 -21.28 -23.19 -25.09 -27.08 -29.24 -31.63 -34.24 -37.06 -40.02 -43.06 -46.11 -49.13 -52.07 -54.89 -57.56 -60.27 -63.17 -66.28 -69.25 -71.93 -74.22 -76.04 -77.38 -78.29 -78.87 -79.25 -79.49 -79.64 -79.74 -79.86 -79.88 -79.90 -79.92 -79.93
  0.099  1.403  -0.52  -5.05  -9.88 -13.59 -16.51 -18.93 -21.04 -23.00 -24.93 -26.94 -29.11 -31.50 -34.12 -36.93 -39.88 -42.90 -45.93 -48.92 -51.81 -54.58 -57.19 -59.83 -62.64 -65.67 -68.58 -71.22 -73.51 -75.40 -76.84 -77.87 -78.56 -79.02 -79.32 -79.53 -79.66 -79.81 -79.86 -79.88 -79.90 -79.92
  0.108  1.530  -0.14  -3.91  -9.00 -12.98 -16.07 -18.59 -20.78 -22.78 -24.75 -26.78 -28.97 -31.37 -33.98 -36.79 -39.73 -42.73 -45.73 -48.68 -51.53 -54.25 -56.79 -59.36 -62.10 -65.05 -67.89 -70.49 -72.78 -74.71 -76.25 -77.38 -78.18 -78.74 -79.12 -79.38 -79.56 -79.76 -79.82 -79.86 -79.88 -79.90
  0.117  1.658  -0.01  -2.74  -8.02 -12.29 -15.57 -18.22 -20.48 -22.55 -24.55 -26.60 -28.81 -31.22 -33.84 -36.64 -39.56 -42.55 -45.52 -48.43 -51.24 -53.90 -56.38 -58.88 -61.54 -64.42 -67.19 -69.74 -72.03 -74.00 -75.61 -76.85 -77.75 -78.41 -78.87 -79.20 -79.43 -79.69 -79.77 -79.82 -79.86 -79.89
  0.126  1.785  -0.02  -1.67  -6.93 -11.52 -15.02 -17.80 -20.16 -22.28 -24.33 -26.41 -28.64 -31.06 -33.68 -36.48 -39.39 -42.35 -45.30 -48.17 -50.93 -53.53 -55.95 -58.38 -60.97 -63.78 -66.49 -69.00 -71.27 -73.26 -74.94 -76.27 -77.28 -78.03 -78.58 -78.98 -79.28 -79.60 -79.71 -79.78 -79.83 -79.87
  0.135  1.913  -0.03  -0.81  -5.73 -10.66 -14.40 -17.34 -19.80 -22.00 -24.09 -26.21 -28.45 -30.88 -33.51 -36.30 -39.20 -42.14 -45.06 -47.89 -50.60 -53.15 -55.51 -57.87 -60.39 -63.13 -65.79 -68.25 -70.51 -72.52 -74.24 -75.65 -76.76 -77.61 -78.25 -78.73 -79.09 -79.50 -79.64 -79.73 -79.80 -79.84
  0.144  2.040   0.02  -0.28  -4.46  -9.69 -13.72 -16.84 -19.41 -21.68 -23.83 -25.98 -28.25 -30.70 -33.32 -36.11 -39.00 -41.92 -44.80 -47.60 -50.26 -52.76 -55.05 -57.35 -59.80 -62.48 -65.09 -67.51 -69.75 -71.77 -73.53 -75.01 -76.20 -77.15 -77.88 -78.45 -78.88 -79.37 -79.55 -79.67 -79.75 -79.81
  0.153  2.168  -0.01  -0.05  -3.17  -8.62 -12.96 -16.28 -18.99 -21.35 -23.55 -25.74 -28.04 -30.49 -33.13 -35.91 -38.78 -41.68 -44.54 -47.29 -49.91 -52.35 -54.59 -56.83 -59.22 -61.84 -64.39 -66.78 -69.00 -71.02 -72.82 -74.35 -75.61 -76.65 -77.47 -78.12 -78.63 -79.22 -79.44 -79.59 -79.70 -79.77
  0.163  2.295  -0.55  -0.01  -1.96  -7.45 -12.12 -15.67 -18.52 -20.98 -23.25 -25.48 -27.81 -30.28 -32.92 -35.69 -38.55 -41.43 -44.26 -46.98 -49.55 -51.94 -54.12 -56.30 -58.63 -61.20 -63.70 -66.06 -68.25 -70.28 -72.10 -73.68 -75.01 -76.12 -77.03 -77.76 -78.35 -79.05 -79.32 -79.50 -79.63 -79.73
  0.172  2.422  -2.10  -0.01  -0.99  -6.17 -11.19 -15.00 -18.02 -20.58 -22.92 -25.21 -27.56 -30.05 -32.69 -35.47 -38.32 -41.17 -43.97 -46.65 -49.18 -51.51 -53.64 -55.76 -58.04 -60.56 -63.02 -65.34 -67.52 -69.54 -71.38 -73.00 -74.39 -75.57 -76.56 -77.37 -78.04 -78.85 -79.18 -79.40 -79.56 -79.67
  0.181  2.550  -4.60   0.01  -0.37  -4.81 -10.17 -14.27 -17.47 -20.15 -22.57 -24.91 -27.29 -29.80 -32.46 -35.23 -38.06 -40.90 -43.66 -46.31 -48.79 -51.08 -53.16 -55.23 -57.46 -59.93 -62.35 -64.64 -66.80 -68.82 -70.67 -72.32 -73.75 -75.00 -76.06 -76.95 -77.70 -78.63 -79.01 -79.28 -79.47 -79.61
  0.191  2.678  -7.48  -0.05  -0.09  -3.44  -9.04 -13.46 -16.87 -19.68 -22.19 -24.59 -27.01 -29.55 -32.21 -34.98 -37.80 -40.61 -43.35 -45.96 -48.40 -50.64 -52.67 -54.70 -56.88 -59.31 -61.69 -63.96 -66.10 -68.11 -69.97 -71.65 -73.12 -74.42 -75.54 -76.51 -77.33 -78.38 -78.83 -79.15 -79.38 -79.54
  0.200  2.805 -10.34  -0.55  -0.02  -2.15  -7.80 -12.57 -16.21 -19.18 -21.78 -24.25 -26.71 -29.27 -31.94 -34.71 -37.53 -40.32 -43.03 -45.60 -48.00 -50.20 -52.19 -54.16 -56.30 -58.69 -61.04 -63.28 -65.41 -67.41 -69.28 -70.98 -72.48 -73.83 -75.01 -76.05 -76.95 -78.11 -78.63 -78.99 -79.26 -79.46
  0.210  2.933 -13.02  -1.93  -0.01  -1.11  -6.47 -11.60 -15.50 -18.63 -21.35 -23.88 -26.39 -28.98 -31.66 -34.44 -37.24 -40.01 -42.69 -45.23 -47.60 -49.75 -51.69 -53.63 -55.73 -58.08 -60.41 -62.62 -64.73 -66.73 -68.60 -70.32 -71.85 -73.23 -74.47 -75.57 -76.53 -77.82 -78.40 -78.82 -79.14 -79.36
  0.219  3.060 -15.51  -4.19   0.01  -0.43  -5.05 -10.53 -14.73 -18.04 -20.88 -23.49 -26.06 -28.67 -31.37 -34.14 -36.94 -39.69 -42.35 -44.86 -47.18 -49.30 -51.20 -53.10 -55.16 -57.48 -59.78 -61.97 -64.07 -66.06 -67.94 -69.66 -71.22 -72.64 -73.92 -75.07 -76.11 -77.50 -78.15 -78.64 -78.99 -79.26
  0.229  3.188 -17.80  -6.87  -0.06  -0.11  -3.62  -9.35 -13.88 -17.41 -20.37 -23.07 -25.70 -28.34 -31.06 -33.84 -36.63 -39.36 -42.00 -44.47 -46.76 -48.84 -50.71 -52.57 -54.60 -56.89 -59.16 -61.34 -63.42 -65.41 -67.28 -69.02 -70.59 -72.04 -73.37 -74.57 -75.66 -77.17 -77.89 -78.43 -78.84 -79.14
  0.238  3.315 -19.93  -9.58  -0.55  -0.02  -2.28  -8.07 -12.95 -16.72 -19.83 -22.63 -25.31 -28.00 -30.74 -33.52 -36.30 -39.02 -41.63 -44.08 -46.34 -48.39 -50.22 -52.04 -54.04 -56.31 -58.56 -60.71 -62.78 -64.77 -66.64 -68.39 -69.98 -71.45 -72.81 -74.06 -75.20 -76.81 -77.60 -78.20 -78.67 -79.01
  0.248  3.442 -21.92 -12.16  -1.85  -0.01  -1.19  -6.69 -11.94 -15.97 -19.25 -22.16 -24.91 -27.64 -30.40 -33.19 -35.97 -38.67 -41.26 -43.68 -45.91 -47.92 -49.72 -51.52 -53.49 -55.74 -57.96 -60.10 -62.16 -64.14 -66.02 -67.77 -69.37 -70.87 -72.25 -73.54 -74.74 -76.44 -77.30 -77.96 -78.48 -78.87
